,energy,num_occurrences,x_1_1,x_1_2,x_1_3,x_2_1,x_2_2,x_2_3,x_3_1,x_3_2,x_3_3
58,173.0000000000009,1,0,0,1,0,1,0,1,0,0
70,173.0000000000009,1,0,0,1,0,1,0,1,0,0
29,173.0000000000009,1,0,0,1,0,1,0,1,0,0
21,173.0000000000009,1,0,0,1,0,1,0,1,0,0
76,173.0000000000009,1,0,0,1,0,1,0,1,0,0
33,173.0000000000009,1,0,0,1,0,1,0,1,0,0
15,173.0000000000009,1,0,0,1,0,1,0,1,0,0
37,173.0000000000009,1,0,0,1,0,1,0,1,0,0
11,173.0000000000009,1,0,0,1,0,1,0,1,0,0
56,173.0000000000009,1,0,0,1,0,1,0,1,0,0
26,173.0000000000009,1,0,0,1,0,1,0,1,0,0
8,173.0000000000009,1,0,0,1,0,1,0,1,0,0
7,173.0000000000009,1,0,0,1,0,1,0,1,0,0
5,173.0000000000009,1,0,0,1,0,1,0,1,0,0
4,173.0000000000009,1,0,0,1,0,1,0,1,0,0
93,173.0000000000009,1,0,0,1,0,1,0,1,0,0
53,173.0000000000009,1,0,0,1,0,1,0,1,0,0
52,173.0000000000009,1,0,0,1,0,1,0,1,0,0
39,173.0000000000009,1,0,0,1,0,1,0,1,0,0
27,180.0000000000009,1,0,1,0,0,0,1,1,0,0
65,180.0000000000009,1,0,1,0,0,0,1,1,0,0
54,180.0000000000009,1,0,1,0,0,0,1,1,0,0
67,180.0000000000009,1,0,1,0,0,0,1,1,0,0
32,180.0000000000009,1,0,1,0,0,0,1,1,0,0
31,180.0000000000009,1,0,1,0,0,0,1,1,0,0
28,180.0000000000009,1,0,1,0,0,0,1,1,0,0
49,180.0000000000009,1,0,1,0,0,0,1,1,0,0
46,180.0000000000009,1,0,1,0,0,0,1,1,0,0
69,180.0000000000009,1,0,1,0,0,0,1,1,0,0
96,180.0000000000009,1,0,1,0,0,0,1,1,0,0
94,180.0000000000009,1,0,1,0,0,0,1,1,0,0
75,180.0000000000009,1,0,1,0,0,0,1,1,0,0
17,180.0000000000009,1,0,1,0,0,0,1,1,0,0
86,180.0000000000009,1,0,1,0,0,0,1,1,0,0
79,180.0000000000009,1,0,1,0,0,0,1,1,0,0
25,180.0000000000009,1,0,1,0,0,0,1,1,0,0
12,180.0000000000009,1,0,1,0,0,0,1,1,0,0
85,180.0000000000009,1,0,1,0,0,0,1,1,0,0
87,182.8000000000011,1,1,0,0,0,1,0,0,0,1
84,182.8000000000011,1,1,0,0,0,1,0,0,0,1
77,182.8000000000011,1,1,0,0,0,1,0,0,0,1
68,182.8000000000011,1,1,0,0,0,1,0,0,0,1
98,182.8000000000011,1,1,0,0,0,1,0,0,0,1
78,182.8000000000011,1,1,0,0,0,1,0,0,0,1
74,182.8000000000011,1,1,0,0,0,1,0,0,0,1
0,182.8000000000011,1,1,0,0,0,1,0,0,0,1
99,182.8000000000011,1,1,0,0,0,1,0,0,0,1
20,182.8000000000011,1,1,0,0,0,1,0,0,0,1
23,182.8000000000011,1,1,0,0,0,1,0,0,0,1
18,182.8000000000011,1,1,0,0,0,1,0,0,0,1
16,182.8000000000011,1,1,0,0,0,1,0,0,0,1
35,182.8000000000011,1,1,0,0,0,1,0,0,0,1
45,182.8000000000011,1,1,0,0,0,1,0,0,0,1
9,182.8000000000011,1,1,0,0,0,1,0,0,0,1
22,182.8000000000011,1,1,0,0,0,1,0,0,0,1
41,182.8000000000011,1,1,0,0,0,1,0,0,0,1
14,196.80000000000018,1,1,0,0,0,0,1,0,1,0
47,196.80000000000018,1,1,0,0,0,0,1,0,1,0
48,196.80000000000018,1,1,0,0,0,0,1,0,1,0
24,196.80000000000018,1,1,0,0,0,0,1,0,1,0
97,196.80000000000018,1,1,0,0,0,0,1,0,1,0
34,196.80000000000018,1,1,0,0,0,0,1,0,1,0
40,196.80000000000018,1,1,0,0,0,0,1,0,1,0
59,196.80000000000018,1,1,0,0,0,0,1,0,1,0
80,196.80000000000018,1,1,0,0,0,0,1,0,1,0
81,196.80000000000018,1,1,0,0,0,0,1,0,1,0
83,196.80000000000018,1,1,0,0,0,0,1,0,1,0
63,196.80000000000018,1,1,0,0,0,0,1,0,1,0
91,199.60000000000036,1,0,1,0,1,0,0,0,0,1
3,199.60000000000036,1,0,1,0,1,0,0,0,0,1
82,199.60000000000036,1,0,1,0,1,0,0,0,0,1
90,199.60000000000036,1,0,1,0,1,0,0,0,0,1
13,199.60000000000036,1,0,1,0,1,0,0,0,0,1
88,199.60000000000036,1,0,1,0,1,0,0,0,0,1
72,199.60000000000036,1,0,1,0,1,0,0,0,0,1
62,199.60000000000036,1,0,1,0,1,0,0,0,0,1
61,199.60000000000036,1,0,1,0,1,0,0,0,0,1
50,199.60000000000036,1,0,1,0,1,0,0,0,0,1
55,199.60000000000036,1,0,1,0,1,0,0,0,0,1
71,206.59999999999945,1,0,0,1,1,0,0,0,1,0
43,206.59999999999945,1,0,0,1,1,0,0,0,1,0
1,206.59999999999945,1,0,0,1,1,0,0,0,1,0
95,206.59999999999945,1,0,0,1,1,0,0,0,1,0
2,206.59999999999945,1,0,0,1,1,0,0,0,1,0
92,206.59999999999945,1,0,0,1,1,0,0,0,1,0
51,206.59999999999945,1,0,0,1,1,0,0,0,1,0
42,206.59999999999945,1,0,0,1,1,0,0,0,1,0
89,206.59999999999945,1,0,0,1,1,0,0,0,1,0
6,206.59999999999945,1,0,0,1,1,0,0,0,1,0
38,206.59999999999945,1,0,0,1,1,0,0,0,1,0
10,206.59999999999945,1,0,0,1,1,0,0,0,1,0
57,206.59999999999945,1,0,0,1,1,0,0,0,1,0
36,206.59999999999945,1,0,0,1,1,0,0,0,1,0
60,206.59999999999945,1,0,0,1,1,0,0,0,1,0
64,206.59999999999945,1,0,0,1,1,0,0,0,1,0
66,206.59999999999945,1,0,0,1,1,0,0,0,1,0
30,206.59999999999945,1,0,0,1,1,0,0,0,1,0
19,206.59999999999945,1,0,0,1,1,0,0,0,1,0
73,206.59999999999945,1,0,0,1,1,0,0,0,1,0
44,206.59999999999945,1,0,0,1,1,0,0,0,1,0
